Nama Wilayah,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),
,2022,2023
ACEH,579227,627534
Simeulue,493303,538693
Aceh Singkil,518951,568691
Aceh Selatan,446224,494565
Aceh Tenggara,430825,471301
Aceh Timur,491550,530934
Aceh Tengah,533810,584863
Aceh Barat,558638,616091
Aceh Besar,519320,564431
Pidie,535713,579450
Bireuen,451163,486667
Aceh Utara,420615,454361
Aceh Barat Daya,430297,474127
Gayo Lues,470221,514836
Aceh Tamiang,508599,555387
Nagan Raya,544300,594374
Aceh Jaya,468854,515244
Bener Meriah,512111,551868
Pidie Jaya,523239,572452
Kota Banda Aceh,737016,814530
Kota Sabang,660573,715446
Kota Langsa,469348,512319
Kota Lhokseumawe,460583,498431
Kota Subulussalam,444818,487777
SUMATERA UTARA,561004,602999
Nias,454570,485533
Mandailing Natal,450345,487436
Tapanuli Selatan,445612,480834
Tapanuli Tengah,450940,489760
Tapanuli Utara,466316,499881
Toba Samosir,465681,496950
Labuhan Batu,489503,524240
Asahan,397944,427293
Simalungun,441744,467926
Dairi,436713,463360
Karo,563660,606244
Deli Serdang,448489,479509
Langkat,453383,483543
Nias Selatan,350452,379929
Humbang Hasundutan,419180,451625
Pakpak Bharat,357844,384812
Samosir,396267,425875
Serdang Bedagai,478072,503955
Batu Bara,508524,556529
Padang Lawas Utara,430944,467457
Padang Lawas,418610,449217
Labuhan Batu Selatan,448994,486275
Labuhan Batu Utara,527922,573783
Nias Utara,474533,501443
Nias Barat,487469,520543
Kota Sibolga,516367,568188
Kota Tanjung Balai,515456,554065
Kota Pematang Siantar,631886,670183
Kota Tebing Tinggi,578512,623531
Kota Medan,607166,651901
Kota Binjai,499451,538638
Kota Padangsidimpuan,480196,523244
Kota Gunungsitoli,426349,459787
SUMATERA BARAT,610941,667925
Kepulauan Mentawai,386152,421113
Pesisir Selatan,526564,554057
Solok,484358,532900
Sijunjung,484572,529460
Tanah Datar,466907,515587
Padang Pariaman,499461,548147
Agam,485222,530290
Lima Puluh Kota,504670,553068
Pasaman,431915,472703
Solok Selatan,470090,516004
Dharmasraya,530693,581058
Pasaman Barat,544829,596225
Kota Padang,634581,698720
Kota Solok,491488,538682
Kota Sawah Lunto,443301,487610
Kota Padang Panjang,543609,599681
Kota Bukittinggi,570032,619896
Kota Payakumbuh,573234,616357
Kota Pariaman,522932,576455
RIAU,605912,658611
Kuantan Singingi,638678,693493
Indragiri Hulu,584910,626671
Indragiri Hilir,568879,597122
Pelalawan,655641,689786
Siak,518768,558867
Kampar,502670,547696
Rokan Hulu,585225,647599
Bengkalis,648933,713826
Rokan Hilir,465614,511610
Kepulauan Meranti,568639,623576
Kota Pekanbaru,655389,712000
Kota Dumai,543182,601348
JAMBI,545870,599688
