,Nama Wilayah,2016,2017,2018,2019,2020,2021,2022,2023
0,ACEH,410956,435454.0,464626.0,486935,522126.0,541109.0,579227,627534.0
1,Simeulue,326563,350622.0,368068.0,404739,444754.0,458896.0,493303,538693.0
2,Aceh Singkil,368968,406015.0,427804.0,450217,473983.0,487249.0,518951,568691.0
3,Aceh Selatan,304466,332177.0,351288.0,369107,405786.0,418689.0,446224,494565.0
4,Aceh Tenggara,221799,250854.0,340196.0,357015,392493.0,404725.0,430825,471301.0
5,Aceh Timur,350186,369911.0,398493.0,417715,440455.0,460422.0,491550,530934.0
6,Aceh Tengah,397859,427170.0,445250.0,468577,492227.0,505933.0,533810,584863.0
7,Aceh Barat,441909,446614.0,447089.0,471058,517264.0,533712.0,558638,616091.0
8,Aceh Besar,384545,398752.0,422051.0,447563,477938.0,489498.0,519320,564431.0
9,Pidie,393370,408150.0,435873.0,462059,493145.0,504452.0,535713,579450.0
10,Bireuen,317562,335314.0,358399.0,393198,410203.0,422685.0,451163,486667.0
11,Aceh Utara,301733,318729.0,340086.0,353856,375394.0,392412.0,420615,454361.0
12,Aceh Barat Daya,306930,329543.0,340903.0,358059,393640.0,406157.0,430297,474127.0
13,Gayo Lues,301546,323482.0,368583.0,387893,425529.0,438689.0,470221,514836.0
14,Aceh Tamiang,368691,389459.0,420841.0,437991,459387.0,479801.0,508599,555387.0
15,Nagan Raya,374236,400811.0,426827.0,446144,493121.0,508801.0,544300,594374.0
16,Aceh Jaya,331940,356060.0,373690.0,391677,428094.0,441706.0,468854,515244.0
17,Bener Meriah,363796,383289.0,413208.0,431643,457916.0,476074.0,512111,551868.0
18,Pidie Jaya,399377,429966.0,448201.0,455995,481308.0,495254.0,523239,572452.0
19,Kota Banda Aceh,541732,572295.0,607391.0,628493,674977.0,698617.0,737016,814530.0
20,Kota Sabang,492787,523705.0,552272.0,563100,599381.0,620373.0,660573,715446.0
21,Kota Langsa,323246,347056.0,371267.0,380906,407421.0,435438.0,469348,512319.0
22,Kota Lhokseumawe,319988,343558.0,367525.0,376832,401158.0,427045.0,460583,498431.0
23,Kota Subulussalam,250408,273370.0,315453.0,351093,400517.0,418643.0,444818,487777.0
24,SUMATERA UTARA,388156,411345.0,435970.0,466122,502904.0,525756.0,561004,602999.0
25,Nias,330111,346374.0,353141.0,361698,405355.0,428739.0,454570,485533.0
26,Mandailing Natal,304669,319777.0,336820.0,356058,400721.0,423017.0,450345,487436.0
27,Tapanuli Selatan,326321,340065.0,343407.0,364798,397363.0,420431.0,445612,480834.0
28,Tapanuli Tengah,353753,367687.0,369471.0,376474,406646.0,429050.0,450940,489760.0
29,Tapanuli Utara,325606,344644.0,357464.0,377948,406813.0,437428.0,466316,499881.0
30,Toba Samosir,326501,345591.0,352860.0,373020,404864.0,435332.0,465681,496950.0
31,Labuhan Batu,333144,352622.0,368357.0,389402,425035.0,457021.0,489503,524240.0
32,Asahan,292030,305868.0,315420.0,330460,351314.0,377752.0,397944,427293.0
33,Simalungun,315947,331860.0,342477.0,359540,387549.0,416714.0,441744,467926.0
34,Dairi,293666,310836.0,325176.0,341511,380275.0,408893.0,436713,463360.0
35,Karo,400261,423663.0,437702.0,460870,500921.0,531519.0,563660,606244.0
36,Deli Serdang,347030,363371.0,381173.0,390440,413202.0,428123.0,448489,479509.0
37,Langkat,348205,364517.0,382536.0,392050,412422.0,432371.0,453383,483543.0
38,Nias Selatan,238119,249225.0,261104.0,279468,312453.0,329308.0,350452,379929.0
39,Humbang Hasundutan,301663,313545.0,329189.0,336500,374768.0,397237.0,419180,451625.0
40,Pakpak Bharat,248835,256781.0,283258.0,287654,311584.0,332644.0,357844,384812.0
41,Samosir,271619,287857.0,299640.0,315825,341843.0,370082.0,396267,425875.0
42,Serdang Bedagai,336478,350892.0,361623.0,382283,416991.0,448372.0,478072,503955.0
43,Batu Bara,347533,363741.0,381651.0,408417,452393.0,477564.0,508524,556529.0
44,Padang Lawas Utara,278290,291036.0,321076.0,342885,380379.0,401435.0,430944,467457.0
45,Padang Lawas,268922,281464.0,310569.0,332350,367932.0,388404.0,418610,449217.0
46,Labuhan Batu Selatan,330874,346305.0,355517.0,368205,404819.0,426574.0,448994,486275.0
47,Labuhan Batu Utara,361017,378024.0,395696.0,422063,471678.0,497922.0,527922,573783.0
48,Nias Utara,370371,381696.0,383552.0,390564,429836.0,455118.0,474533,501443.0
49,Nias Barat,352570,361397.0,386431.0,393450,433249.0,458533.0,487469,520543.0
50,Kota Sibolga,391681,413454.0,415478.0,425236,453786.0,485527.0,516367,568188.0
51,Kota Tanjung Balai,345900,374442.0,397647.0,421671,444125.0,482602.0,515456,554065.0
52,Kota Pematang Siantar,429365,464794.0,474084.0,502726,536486.0,583588.0,631886,670183.0
53,Kota Tebing Tinggi,383650,415307.0,426469.0,460533,493227.0,536531.0,578512,623531.0
54,Kota Medan,460685,491496.0,518420.0,532055,553796.0,577126.0,607166,651901.0
55,Kota Binjai,343078,371387.0,380792.0,403798,433746.0,466554.0,499451,538638.0
56,Kota Padangsidimpuan,326579,348074.0,363468.0,382884,417455.0,453777.0,480196,523244.0
57,Kota Gunungsitoli,304727,318585.0,327303.0,339671,370967.0,408190.0,426349,459787.0
58,SUMATERA BARAT,425141,453612.0,476554.0,503652,544315.0,568703.0,610941,667925.0
59,Kepulauan Mentawai,263793,280695.0,294284.0,310033,340191.0,356403.0,386152,421113.0
60,Pesisir Selatan,366228,390955.0,409882.0,431817,467743.0,491573.0,526564,554057.0
61,Solok,376748,400887.0,408570.0,415649,451906.0,461030.0,484358,532900.0
62,Sijunjung,344153,365074.0,379046.0,400861,433147.0,455346.0,484572,529460.0
63,Tanah Datar,346267,361037.0,369833.0,379041,420049.0,441793.0,466907,515587.0
64,Padang Pariaman,374636,385736.0,402960.0,411182,455463.0,475342.0,499461,548147.0
65,Agam,315804,327004.0,341372.0,379304,424728.0,444711.0,485222,530290.0
66,Lima Puluh Kota,357824,370506.0,388689.0,403030,451295.0,475123.0,504670,553068.0
67,Pasaman,307552,320478.0,334800.0,347153,388726.0,408293.0,431915,472703.0
68,Solok Selatan,326733,347667.0,364498.0,387438,419442.0,438187.0,470090,516004.0
69,Dharmasraya,374642,398408.0,414096.0,439117,477421.0,503183.0,530693,581058.0
70,Pasaman Barat,367159,382820.0,402877.0,417742,467769.0,492467.0,544829,596225.0
71,Kota Padang,449658,482763.0,507042.0,534857,570654.0,602540.0,634581,698720.0
72,Kota Solok,385781,413297.0,414673.0,440618,450254.0,464977.0,491488,538682.0
73,Kota Sawah Lunto,318721,337682.0,354665.0,374615,399688.0,412757.0,443301,487610.0
74,Kota Padang Panjang,420981,424298.0,438075.0,450377,491142.0,516648.0,543609,599681.0
75,Kota Bukittinggi,420478,441087.0,459371.0,475755,519470.0,540457.0,570032,619896.0
76,Kota Payakumbuh,424233,441736.0,462243.0,482184,526490.0,543335.0,573234,616357.0
77,Kota Pariaman,392970,412231.0,431368.0,446514,480028.0,495386.0,522932,576455.0
78,RIAU,426001,456493.0,479944.0,500612,544057.0,565937.0,605912,658611.0
79,Kuantan Singingi,468199,497747.0,521591.0,545403,580453.0,599163.0,638678,693493.0
80,Indragiri Hulu,419737,432589.0,457871.0,474298,522110.0,549563.0,584910,626671.0
81,Indragiri Hilir,315988,368134.0,435202.0,450728,495305.0,518283.0,568879,597122.0
82,Pelalawan,473240,487648.0,515581.0,534078,585728.0,618738.0,655641,689786.0
83,Siak,391039,414501.0,431814.0,443868,473128.0,489467.0,518768,558867.0
84,Kampar,375716,398138.0,419306.0,434601,460991.0,477603.0,502670,547696.0
85,Rokan Hulu,420884,446901.0,467343.0,488401,532643.0,551351.0,585225,647599.0
86,Bengkalis,455021,496657.0,508633.0,533123,581416.0,604925.0,648933,713826.0
87,Rokan Hilir,345953,367338.0,371067.0,388701,418473.0,437398.0,465614,511610.0
88,Kepulauan Meranti,427938,445025.0,462535.0,483377,520955.0,542599.0,568639,623576.0
89,Kota Pekanbaru,435082,473788.0,499852.0,516368,589281.0,613183.0,655389,712000.0
90,Kota Dumai,369624,403244.0,418597.0,439152,484609.0,509002.0,543182,601348.0
91,JAMBI,371875,389596.0,426251.0,448509,483542.0,506355.0,545870,599688.0
92,Kerinci,285406,309941.0,333978.0,356059,385571.0,396168.0,443408,485838.0
93,Merangin,325181,347523.0,374250.0,406466,440156.0,453696.0,489880,537492.0
94,Sarolangun,386460,393344.0,403411.0,424223,459092.0,472866.0,497951,545939.0
95,Batang Hari,341320,365365.0,394438.0,420227,450233.0,462468.0,497857,540168.0
96,Muaro Jambi,255918,295983.0,353583.0,375372,409104.0,425294.0,462035,535244.0
97,Tanjung Jabung Timur,322389,338963.0,361574.0,374735,392778.0,406772.0,468201,514905.0
98,Tanjung Jabung Barat,303479,314436.0,348495.0,364012,396113.0,409631.0,453956,499318.0
99,Tebo,338160,363698.0,379390.0,404473,435523.0,448461.0,485883,528310.0
100,Bungo,292573,310428.0,366226.0,390439,422801.0,436020.0,470545,517119.0
101,Kota Jambi,397088,413722.0,466854.0,488034,529090.0,563403.0,605556,667447.0
102,Kota Sungai Penuh,317556,334856.0,351391.0,373673,401966.0,426380.0,450708,491568.0
103,SUMATERA SELATAN,351984,370060.0,397150.0,410532,439041.0,457455.0,485069,520754.0
104,Ogan Komering Ulu,365341,380254.0,415785.0,428200,457452.0,481139.0,511887,548200.0
105,Ogan Komering Ilir,295852,310341.0,333505.0,347121,375837.0,393240.0,416417,444881.0
106,Muara Enim,316729,331554.0,353012.0,367761,390342.0,405782.0,426216,467396.0
107,Lahat,369359,385525.0,419658.0,428309,457569.0,485142.0,513085,547203.0
108,Musi Rawas,377135,392740.0,427595.0,437854,467766.0,493675.0,524110,564151.0
109,Musi Banyuasin,412591,430771.0,466822.0,486476,519797.0,537774.0,566393,593258.0
110,Banyu Asin,337391,353914.0,381437.0,397496,429816.0,445089.0,477393,509264.0
111,Ogan Komering Ulu Selatan,273594,286157.0,310717.0,319333,341148.0,359859.0,379854,413228.0
112,Ogan Komering Ulu Timur,274608,285970.0,312340.0,321629,343601.0,362446.0,383463,410548.0
113,Ogan Ilir,367067,386740.0,416098.0,433616,469746.0,492537.0,523864,571657.0
114,Empat Lawang,269211,280350.0,306546.0,315699,341007.0,360378.0,384199,411191.0
115,Penukal Abab Lematang Ilir,330907,346448.0,377160.0,388208,412236.0,435379.0,458746,487341.0
116,Musi Rawas Utara,401205,417805.0,456844.0,470485,504598.0,532273.0,565070,604903.0
117,Kota Palembang,456225,480735.0,510994.0,521489,548563.0,567518.0,597136,643356.0
118,Kota Prabumulih,466459,493871.0,530748.0,541648,569769.0,592210.0,623429,649951.0
119,Kota Pagar Alam,289493,299982.0,324025.0,328745,342738.0,356287.0,370417,408917.0
120,Kota Lubuklinggau,417192,435956.0,470897.0,477756,495213.0,516763.0,541784,583867.0
121,BENGKULU,416427,450648.0,481425.0,499660,527031.0,548934.0,590754,637142.0
122,Bengkulu Selatan,323991,346595.0,364888.0,377823,394513.0,408904.0,435955,467762.0
123,Rejang Lebong,382027,408680.0,434643.0,449999,472555.0,487490.0,530029,566433.0
124,Bengkulu Utara,333311,356566.0,359264.0,369367,387881.0,398746.0,423857,459171.0
125,Kaur,289374,310047.0,317558.0,322815,338451.0,350794.0,371660,415715.0
126,Seluma,332483,355680.0,377647.0,386321,400090.0,414446.0,444931,478617.0
127,Mukomuko,365084,388823.0,411795.0,426737,448127.0,464473.0,494426,534660.0
128,Lebong,339045,362700.0,389973.0,404368,424637.0,440127.0,472738,507046.0
129,Kepahiang,323333,348238.0,361281.0,374568,396184.0,410569.0,433660,465292.0
130,Bengkulu Tengah,342162,366034.0,389821.0,406137,431688.0,447435.0,512084,549468.0
131,Kota Bengkulu,535893,584265.0,642314.0,660442,702578.0,740612.0,785905,810507.0
132,LAMPUNG,364922,384882.0,402307.0,418309,453733.0,471439.0,514039,559011.0
133,Lampung Barat,371926,382576.0,391444.0,400662,443313.0,457478.0,495283,530803.0
134,Tanggamus,332302,341443.0,351167.0,359580,397984.0,410510.0,430697,463925.0
135,Lampung Selatan,346457,360594.0,375868.0,389236,422328.0,439421.0,470857,508494.0
136,Lampung Timur,331765,342295.0,352173.0,360610,398298.0,411200.0,433965,465856.0
137,Lampung Tengah,362475,373980.0,385132.0,394338,436777.0,450232.0,474289,503645.0
138,Lampung Utara,369628,379962.0,390927.0,400248,441045.0,451876.0,475290,510098.0
139,Way Kanan,313733,323691.0,333033.0,341012,377712.0,389088.0,409522,433471.0
140,Tulangbawang,362185,373681.0,384465.0,393676,438744.0,456567.0,486739,522396.0
141,Pesawaran,330874,347215.0,360909.0,372649,403441.0,420032.0,452521,491249.0
142,Pringsewu,379279,398830.0,408174.0,422691,458627.0,475983.0,511679,555787.0
143,Mesuji,353477,360105.0,370497.0,382020,423133.0,436653.0,459977,525183.0
144,Tulang Bawang Barat,358939,370332.0,384933.0,391096,432693.0,447327.0,476712,511418.0
145,Pesisir Barat,371724,390885.0,393302.0,407290,441917.0,460090.0,496629,545538.0
146,Kota Bandar Lampung,502968,540679.0,562277.0,588177,634743.0,654576.0,698598,761790.0
147,Kota Metro,331201,346491.0,360656.0,371636,406351.0,417861.0,449415,480830.0
148,KEP. BANGKA BELITUNG,534229,587530.0,631467.0,677716,721455.0,752203.0,801437,874204.0
149,Bangka,427684,475024.0,497164.0,541925,577093.0,595429.0,639535,685810.0
150,Belitung,610072,652989.0,704855.0,766276,812321.0,830484.0,860629,896948.0
151,Bangka Barat,440850,497567.0,520642.0,549496,589894.0,599887.0,635861,681517.0
152,Bangka Tengah,586445,653308.0,680907.0,693842,721331.0,735479.0,773509,814969.0
153,Bangka Selatan,415359,462716.0,483823.0,523155,561617.0,581970.0,621629,669016.0
154,Belitung Timur,528572,563309.0,622396.0,684277,725395.0,798017.0,854534,899482.0
155,Kota Pangkal Pinang,604011,654044.0,700949.0,748487,795653.0,808839.0,858840,894224.0
156,KEPULAUAN RIAU,490157,513237.0,559291.0,594059,614727.0,642425.0,684070,742526.0
157,Karimun,338341,354526.0,360087.0,376853,411052.0,422961.0,446856,468332.0
158,Bintan,341812,354012.0,367294.0,384396,417654.0,424426.0,447933,474674.0
159,Natuna,302043,332248.0,362519.0,378573,408164.0,420503.0,449302,480103.0
160,Lingga,387244,395089.0,411387.0,429764,472384.0,484088.0,507223,540936.0
161,Kepulauan Anambas,341556,356046.0,366917.0,382449,416877.0,429475.0,452220,481718.0
162,Kota Batam,565380,591589.0,650406.0,686956,707856.0,740109.0,783730,854465.0
163,Kota Tanjung Pinang,582414,598631.0,625473.0,659170,691738.0,719776.0,764410,771584.0
164,DKI JAKARTA,510359,536546.0,593108.0,637260,680401.0,697638.0,738955,792515.0
165,Kepulauan Seribu,520073,552622.0,576713.0,629315,661852.0,670785.0,701088,743820.0
166,Kota Jakarta Selatan,594380,620712.0,680167.0,729256,782731.0,792684.0,842630,891580.0
167,Kota Jakarta Timur,433405,455584.0,502152.0,539510,581954.0,594849.0,630842,669713.0
168,Kota Jakarta Pusat,503304,524750.0,580080.0,625177,672328.0,689379.0,733176,784679.0
169,Kota Jakarta Barat,421968,443561.0,490331.0,517646,557803.0,570330.0,599514,657247.0
170,Kota Jakarta Utara,441617,463787.0,512689.0,549506,594240.0,609310.0,645431,684557.0
171,JAWA BARAT,324992,344427.0,367755.0,386198,410988.0,427402.0,452580,495229.0
172,Bogor,317430,337550.0,359787.0,373799,402877.0,418483.0,443787,482174.0
173,Sukabumi,270055,284603.0,302213.0,309676,328284.0,342094.0,357636,392705.0
174,Cianjur,304255,320390.0,340882.0,350760,371699.0,387631.0,406829,437327.0
175,Bandung,297483,310569.0,334929.0,345177,367403.0,378819.0,398884,426069.0
176,Garut,256770,267252.0,282683.0,301202,310437.0,320050.0,335134,367681.0
177,Tasikmalaya,274470,284462.0,306759.0,311848,323880.0,333909.0,347917,378958.0
178,Ciamis,319150,334038.0,357382.0,363750,378108.0,389676.0,405294,442108.0
179,Kuningan,289901,302061.0,332483.0,340775,352358.0,358069.0,371665,402767.0
180,Cirebon,333758,346240.0,370747.0,381372,393452.0,404635.0,416914,451853.0
181,Majalengka,393071,409559.0,440776.0,445184,453201.0,466813.0,483319,520713.0
182,Sumedang,295009,307394.0,334743.0,342073,353092.0,360054.0,371870,396573.0
183,Indramayu,397196,413857.0,447378.0,458240,474807.0,481754.0,499805,532545.0
184,Subang,303583,316317.0,331557.0,339607,351885.0,360691.0,372308,404320.0
185,Purwakarta,312499,325607.0,352061.0,367273,378287.0,387754.0,403663,434187.0
186,Karawang,386282,408579.0,433972.0,440347,466152.0,494201.0,521158,555889.0
187,Bekasi,416058,434112.0,463507.0,481732,518667.0,549875.0,579221,632811.0
188,Bandung Barat,294823,309304.0,329415.0,341307,362212.0,374470.0,393956,426355.0
189,Pangandaran,327399,342672.0,360960.0,367748,382264.0,394101.0,411174,447242.0
190,Kota Bogor,416779,450078.0,480749.0,513343,547399.0,571425.0,608949,661384.0
191,Kota Sukabumi,441948,470133.0,497995.0,520742,547415.0,567734.0,594118,644276.0
192,Kota Bandung,400541,420579.0,448902.0,474448,500452.0,515396.0,545675,591124.0
193,Kota Cirebon,373866,392725.0,426738.0,444574,457954.0,467248.0,485613,520579.0
194,Kota Bekasi,521813,544534.0,582723.0,617718,657953.0,692885.0,731392,795965.0
195,Kota Depok,522934,556470.0,615255.0,644860,688194.0,705084.0,744771,804984.0
196,Kota Cimahi,411665,433759.0,462969.0,484804,511375.0,522281.0,549450,590197.0
197,Kota Tasikmalaya,397215,416837.0,447008.0,457899,470150.0,480341.0,498711,537497.0
198,Kota Banjar,289369,305603.0,324958.0,334590,344363.0,357210.0,373510,408710.0
199,JAWA TENGAH,317348,333224.0,350875.0,369385,395407.0,409193.0,438833,477580.0
200,Cilacap,292525,307041.0,320106.0,337572,351735.0,363367.0,384955,419429.0
201,Banyumas,344514,357748.0,366442.0,385140,406250.0,417086.0,441520,479027.0
202,Purbalingga,301862,313343.0,324735.0,355702,375199.0,384183.0,407849,439208.0
203,Banjarnegara,252328,264387.0,278210.0,301792,318334.0,328679.0,351333,380046.0
204,Kebumen,313881,325819.0,342437.0,362847,380557.0,390599.0,416004,451678.0
205,Purworejo,313931,325871.0,335995.0,345458,364289.0,376127.0,393731,427622.0
206,Wonosobo,297422,308553.0,323490.0,340827,362683.0,373474.0,399180,425105.0
207,Magelang,271800,281237.0,296327.0,325921,342430.0,353608.0,377497,411129.0
208,Boyolali,283921,293405.0,304575.0,332996,347520.0,361922.0,383030,420339.0
209,Klaten,364240,376305.0,397447.0,405537,419510.0,436896.0,458872,488102.0
210,Sukoharjo,327217,337037.0,345363.0,377319,393776.0,410273.0,434318,476675.0
211,Wonogiri,275507,284710.0,293357.0,327364,341643.0,356728.0,376763,414901.0
212,Karanganyar,329531,340538.0,348896.0,365151,385563.0,401542.0,424677,465703.0
213,Sragen,283649,292544.0,312106.0,335334,348890.0,363349.0,389265,426482.0
214,Grobogan,333009,345379.0,366192.0,375521,395001.0,404456.0,428597,464614.0
215,Blora,279972,291114.0,308520.0,335837,353259.0,363649.0,390478,425135.0
216,Rembang,338986,354440.0,365443.0,384561,403932.0,414977.0,441482,477514.0
